epoch,train_loss,val_loss,train_z_proprio_loss,train_standard_l2_loss,train_bisim_loss,train_bisim_z_dist,train_bisim_r_dist,train_bisim_var_loss,train_bisim_transition_dist,train_bisim_cov_reg,val_z_proprio_loss,val_standard_l2_loss,val_bisim_loss,val_bisim_z_dist,val_bisim_r_dist,val_bisim_var_loss,val_bisim_transition_dist,val_bisim_cov_reg
1,1.063959511452251,0.9208445728949781,0.3340329805182086,,0.7036882592572107,0.9829323480526606,0.021665203809324237,0.2954157418674893,1.3029775851302676,0.20483806770708826,0.2775267154540656,,0.6271207984888328,1.014063595600848,0.04463824524350886,0.22515793257164504,1.3697980799764957,0.18080288565383767
2,0.9285801351070404,0.876930037759385,0.1989453377823035,,0.632462371720208,1.121997938884629,0.022261435931755436,0.2677405879729324,1.4018131262726254,0.19617231471670998,0.2227109873069907,,0.5648358711656535,1.3441441104097187,0.05398279808039935,0.1979033772675496,1.575136735754193,0.16836547008100547
3,0.8915503117773268,0.8706603916186206,0.15533421167896855,,0.5846240841680103,1.3054265658060709,0.027511447005801732,0.24600152174631754,1.5302021510071224,0.18695798019568124,0.1869359165430069,,0.552381472767524,1.5581988298668052,0.05742045780116657,0.1830083691286591,1.6997855789256546,0.15957319483442126
4,0.8654076410664453,0.8784639722896073,0.12760139397448964,,0.5495252423816257,1.3928380204571618,0.025177136198100115,0.23415626767608855,1.5856774376498328,0.18044457460443178,0.16518988305667662,,0.5441333111727013,1.7355310871915997,0.06283444152125772,0.16817130710718767,1.7836802568075791,0.15250541157317613
5,0.8443722175227271,0.9254542026879653,0.10806264152957333,,0.5247201431128714,1.4518926428423988,0.02500449928144614,0.22361930186549822,1.6250323202874926,0.17626363568835787,0.14676813401703565,,0.5873836846846454,1.9456522509736836,0.07263032607031318,0.15671564076306685,1.8909376837172598,0.1466422826051712
6,0.8259842111004724,0.9059589932549674,0.0936456182350715,,0.5144212385018666,1.4561908940474193,0.02717036974305908,0.2180463969707489,1.6273120145003002,0.1737657095823023,0.13630847843750468,,0.5818245208488321,1.9614942591145355,0.07220856543138342,0.1558813806974663,1.9029377114098027,0.1451338268113586
7,0.8027177343765894,0.9037425371835817,0.08290534892843829,,0.5054004748662313,1.465977704524994,0.0261119463481009,0.21365352297822635,1.6344208147790698,0.17165471058752801,0.12450062314856727,,0.5921182356915384,2.024916358713834,0.0673228696269809,0.15014007968722648,1.929341194764623,0.14270680411806647
8,0.7776743008030785,0.8802559094608955,0.07505579669442441,,0.4971541398101383,1.485751469930013,0.026918593214617835,0.20878934661547344,1.6467251247829862,0.16954384884900517,0.1216852236187683,,0.58454892320453,2.059164101222776,0.06773317942641816,0.14820947062294437,1.9579169547782753,0.1410147522418004
9,0.7483103305101395,0.8695372466771107,0.06742987537549602,,0.4861789329184426,1.4826532238059573,0.02482451583362288,0.20513950983683268,1.6457876410749224,0.16781658397780524,0.10846340895261404,,0.5937059819698334,2.0874382122507633,0.07000907145018848,0.14373694022871414,1.9670191733342297,0.13846552118940172
10,0.7216435574822956,0.9176045240096327,0.06139557258122497,,0.4789645612239838,1.494808061917623,0.02457474935799837,0.20176352659861246,1.6520856453312769,0.16618229382567937,0.10385875572573464,,0.6600522848795045,2.228068234785548,0.06661992752045956,0.13985535643010769,2.035723423058132,0.13628018099182057
