epoch,train_loss,val_loss,train_z_proprio_loss,train_standard_l2_loss,train_bisim_loss,train_bisim_z_dist,train_bisim_r_dist,train_bisim_var_loss,train_bisim_transition_dist,train_bisim_cov_reg,train_bisim_vicreg_inv,train_bisim_vicreg_total,val_z_proprio_loss,val_standard_l2_loss,val_bisim_loss,val_bisim_z_dist,val_bisim_r_dist,val_bisim_var_loss,val_bisim_transition_dist,val_bisim_cov_reg,val_bisim_vicreg_inv,val_bisim_vicreg_total
1,0.4333722978535265,0.39575161349098636,0.2736062189730087,,3.860727261641238,3.5482543534571582,0.05746765525845608,0.03387549452409886,2.4965882280085347,0.00012922735015560854,0.0042702989721910495,0.03827502075398322,0.17038744181956886,,0.5804702420279665,2.025268163321153,0.06369175283976321,0.1719004970114186,1.935404802268406,9.728777321178536e-05,0.013218901084981999,0.1852166883225711
2,0.3822380016935934,0.38647828461988915,0.13342318782711973,,3.6806700053781567,3.5987974426533915,0.051720038432591035,0.032681238072195855,2.5295382018136507,0.00014148939210439728,0.004249285168872022,0.03707201256610379,0.11381829572173785,,0.5663259484857883,2.0518066433240785,0.05832994047482059,0.17195845802999893,1.9590464470521458,7.620722132038659e-05,0.013396518709102892,0.18543118491487684
3,0.37968868648651805,0.3706305960439286,0.09870010593740067,,3.559756657746759,3.5450302983274553,0.057449642598333926,0.03283700868118517,2.503874678895025,0.00015152698987288087,0.004128758790487848,0.03711729457620347,0.08790693825708246,,0.4877034988043443,1.8656153453970856,0.06041528045568826,0.1734376870236307,1.8654146306919601,5.4475282871313744e-05,0.012176226947526887,0.18566838778414815
4,0.36111960647129776,0.342418908510568,0.08009668680848461,,2.136375085434111,3.035139030985313,0.056343902256524206,0.03357808139212061,2.325622508549454,0.00010492205323730964,0.0034962846547143883,0.037179287899248674,0.07317651049146112,,0.45118495653260426,1.7430998154406279,0.05405833220706796,0.1745220900706525,1.7999502645348602,4.772249818450051e-05,0.011378417599875972,0.18594822934213676
5,0.3282726129092792,0.29639256506595973,0.06844426791119103,,1.5738726672559682,2.68839003968947,0.05396690231074791,0.03396802844830079,2.1867650801592533,8.95267012256767e-05,0.0031388876304989403,0.037196442462725215,0.05669816934837485,,0.45482203364372253,1.6829509352738004,0.06932655328287268,0.17518977342911488,1.769301691145267,4.1607020562569574e-05,0.010985866909460077,0.18621724815863483
6,0.28431490978392043,0.24509576047366521,0.0596966419184562,,1.138151436040897,2.3018874878930573,0.050826546394883994,0.034580558973668823,2.0192490476192813,6.86156258933185e-05,0.002682189328024293,0.0373313640161316,0.04725843913993746,,0.4207328715414371,1.563811700299101,0.05440501960099868,0.17638116119042882,1.7121984913664043,3.739039435321553e-05,0.010210138359019216,0.18662868946228386
7,0.2354588303825643,0.19538031771497907,0.05342451178348891,,0.4284525589777691,1.7590092040524625,0.043430802281392684,0.03536583791569908,1.7923758738111741,3.0275915062225294e-05,0.00206739133648058,0.03746350519727953,0.03909540907391962,,0.4157909610361423,1.4416063844033007,0.053390287917177634,0.17775746870715664,1.6379094956056126,3.1554492725606325e-05,0.009410309420793125,0.187199334490974
8,0.19722725970320182,0.16214676257574334,0.04832850471876635,,0.29083588810840455,1.5662716485486172,0.04053234555712431,0.03561396691763755,1.7019711451955362,2.1530702834563344e-05,0.0018815660939118502,0.03751706384343676,0.03361312458115929,,0.4156209207930655,1.4115951556079793,0.05192568912258688,0.17805181949768425,1.620157520726042,3.393604983668994e-05,0.009213867430346754,0.18729962352311835
9,0.17418372557304873,0.13904793926005093,0.044173080901993386,,0.3470133168567525,1.5788352092893998,0.039142997573950504,0.035673639672522496,1.6945131181490303,2.591086021005473e-05,0.001882085054743998,0.03758163566489031,0.029708841323571385,,0.4087964948618187,1.3134050504216608,0.044888937916114646,0.17897930656963923,1.5601745236594722,2.7994100234519584e-05,0.008574723125488128,0.1875820258316004
10,0.1631745206247462,0.13644446994898454,0.04057299804569471,,0.3704193134119015,1.6733092686917521,0.038891771970556516,0.03553896107443488,1.7399601360358814,3.07344980026053e-05,0.0019787775829784794,0.03754847294623309,0.027231490344933745,,0.41033639154344237,1.2902821617306404,0.05097949427534949,0.17929072396935158,1.5457521249663155,2.9986752228721326e-05,0.008420375263634717,0.18774108588695526
11,0.15715395150208236,0.1329038508658139,0.037800911209075756,,0.5292483261611202,1.843818754724937,0.036517064218031296,0.03531731238016988,1.8096809018956552,4.342281156166089e-05,0.0021553457763027585,0.037516081045464715,0.023766731843352318,,0.4067258486207926,1.2588527877375764,0.04793194354564514,0.17976728222280178,1.5278323618870862,2.718785887033314e-05,0.008217007598294964,0.18801148151451685
