epoch,train_loss,val_loss,train_z_proprio_loss,train_standard_l2_loss,train_bisim_loss,train_bisim_z_dist,train_bisim_r_dist,train_bisim_var_loss,train_bisim_transition_dist,train_bisim_cov_reg,train_bisim_vicreg_inv,train_bisim_vicreg_total,val_z_proprio_loss,val_standard_l2_loss,val_bisim_loss,val_bisim_z_dist,val_bisim_r_dist,val_bisim_var_loss,val_bisim_transition_dist,val_bisim_cov_reg,val_bisim_vicreg_inv,val_bisim_vicreg_total
1,0.493672119213803,0.48638134351316487,0.24109616484677437,,0.16905555477236758,1.3592353127970553,0.04310231940581067,0.0,1.584105424361654,0.0,0.0,0.0,0.15306955041750422,,0.17489427299994342,1.5498554841527399,0.06862765213228622,0.0,1.6885188120716024,0.0,0.0,0.0
2,0.42138692075663275,0.48198473678444914,0.11668188712089368,,0.11572953846194957,1.6154961319252996,0.05076978784976619,0.0,1.7499913557921305,0.0,0.0,0.0,0.09549531368714459,,0.18349287672987524,1.7216448244058862,0.07032770621326734,0.0,1.7939414798088793,0.0,0.0,0.0
3,0.37788474306021586,0.406376524916235,0.08039425370274204,,0.10241024368765331,1.658526069811075,0.051249387723827124,0.0,1.774868362020738,0.0,0.0,0.0,0.06667958530333806,,0.16007706621345483,1.7304947488712814,0.06246132677737272,0.0,1.7962608000017561,0.0,0.0,0.0
4,0.3165433433976504,0.33570029600611273,0.06230089629050529,,0.09509660155318751,1.6701995684368776,0.04850953482460268,0.0,1.7822396408213248,0.0,0.0,0.0,0.05016814755662432,,0.1536542649539012,1.7117501137391575,0.06498613756782604,0.0,1.7814785736911702,0.0,0.0,0.0
5,0.2632015600652978,0.30502869835439717,0.05114033612431866,,0.08938731672887755,1.6794630270193118,0.04893459825970159,0.0,1.787002166899124,0.0,0.0,0.0,0.03854022217246721,,0.16377507515673367,1.7500662938603815,0.06390982465642803,0.0,1.8025450683989614,0.0,0.0,0.0
6,0.23127308310848652,0.2727389015116782,0.043532334231209044,,0.08583061780669901,1.6690478572751035,0.04670779823076607,0.0,1.7777196216111135,0.0,0.0,0.0,0.029293456202689208,,0.15272816692320806,1.7491666460936923,0.06194069580930584,0.0,1.8047232245499234,0.0,0.0,0.0
7,0.21176087809081126,0.2621739931264014,0.03807732906967107,,0.0825757997092044,1.6806771106059009,0.04455150810282419,0.0,1.7855928862448966,0.0,0.0,0.0,0.02509653628013044,,0.15263114658729085,1.7280724498460878,0.06483480510003162,0.0,1.792535975294293,0.0,0.0,0.0
8,0.19952520554018494,0.24221864595728101,0.033861510448231553,,0.08109726515589374,1.6795511675353096,0.04727815081651258,0.0,1.7829202651977538,0.0,0.0,0.0,0.02149023249183061,,0.1405924933980096,1.6864766849661774,0.057285253028824645,0.0,1.7711087352824662,0.0,0.0,0.0
9,0.18968584744056852,0.23959473084728672,0.030495949358780784,,0.07908997974625909,1.6856276724598196,0.047869797578395004,0.0,1.7871392497921934,0.0,0.0,0.0,0.018506803514681897,,0.14106316006970857,1.7070218549584442,0.05972147747030798,0.0,1.7765710646251462,0.0,0.0,0.0
10,0.18136090494618556,0.23556754302303745,0.027767700816292575,,0.07655243374185987,1.6960453193966705,0.046317286634504205,0.0,1.793837281028823,0.0,0.0,0.0,0.017241892229133058,,0.1393904819522264,1.7054597544220258,0.05820227020754004,0.0,1.7766215103977132,0.0,0.0,0.0
